,Date_Time,Temperature,Feels,Precipitation,Humidity,Wind Speed
0,12-11-2019 15:45,28,30,0,62,7
1,12-11-2019 16:00,28,30,0,63,7
2,12-11-2019 17:00,26,28,0,68,5
3,12-11-2019 18:00,25,25,0,71,4
4,12-11-2019 19:00,25,25,0,74,3
5,12-11-2019 20:00,24,24,0,78,3
6,12-11-2019 21:00,23,23,0,80,2
7,12-11-2019 22:00,23,23,5,81,2
8,12-11-2019 23:30,22,23,5,85,2
9,13-11-2019 00:30,22,22,5,85,3
10,13-11-2019 01:30,21,22,5,86,2
11,13-11-2019 02:30,21,21,5,87,3
12,13-11-2019 03:30,20,21,5,88,3
13,13-11-2019 04:30,20,21,5,88,3
14,13-11-2019 05:30,20,20,5,89,3
15,13-11-2019 06:30,20,20,5,91,3
16,13-11-2019 07:30,21,22,5,87,5
17,13-11-2019 08:30,24,25,5,81,6
18,13-11-2019 09:30,26,28,0,74,7
19,13-11-2019 10:30,27,30,0,66,8
20,13-11-2019 11:30,28,30,0,61,8
21,13-11-2019 12:30,29,31,0,59,8
22,13-11-2019 13:30,29,31,0,57,8
23,13-11-2019 14:30,29,31,0,59,8
24,13-11-2019 15:30,28,30,0,62,8
25,13-11-2019 16:30,27,29,0,66,7
26,13-11-2019 17:30,25,27,5,72,4
27,13-11-2019 18:30,24,26,5,74,4
28,13-11-2019 19:30,24,24,5,77,3
29,13-11-2019 20:30,23,24,5,81,3
30,13-11-2019 21:30,23,23,5,83,3
31,13-11-2019 22:30,22,23,5,84,3
32,13-11-2019 23:30,22,23,5,86,2
33,14-11-2019 00:30,21,22,5,86,3
34,14-11-2019 01:30,21,22,5,87,3
35,14-11-2019 02:30,21,21,5,87,3
36,14-11-2019 03:30,20,21,5,88,3
37,14-11-2019 04:30,20,20,5,90,3
38,14-11-2019 05:30,20,20,5,90,3
39,14-11-2019 06:30,20,20,5,92,4
40,14-11-2019 07:30,21,22,5,87,7
41,14-11-2019 08:30,24,24,5,80,8
42,14-11-2019 09:30,25,28,0,74,9
43,14-11-2019 10:30,27,29,0,68,10
44,14-11-2019 11:30,28,30,0,65,9
45,14-11-2019 12:30,29,31,0,63,10
46,14-11-2019 13:30,29,32,0,62,10
47,14-11-2019 14:30,29,31,0,63,10
